URL,Content
https://www.jkhd.co.jp/english/,"NEWS LETTER
Bulls International"
https://www.jkhd.co.jp/english/,"NEWS LETTER
Bulls International"
https://www.jkhd.co.jp/,"100%
SCROLL









採用情報
RECRUIT SITE
RECRUIT"
https://www.jkhd.co.jp/english/about-us/ceos-statement/,"HOME
About Us
CEOʼs Statement / Corporate Message
CEO's Statement
Message from the President
of JK Holdings
Keiichiro Aoki
President of JK Holdings
The JK Holdings Group, with a corporate philosophy of ""Creating a Comfortable & Rich Living Environment"" is engaged in a diverse range of businesses encompassing the housing industry, including building materials wholesaling, manufacturing, retailing, and construction. We always update the lineup of building materials to our customers to make sure they can catch up with the trend of housing needs, and we will supply the newest materials whenever the customer needs them. We also contribute to improving the ""environment"" of the industry by providing management know-how and producing complicated paperwork on behalf of housing companies and dealers. Going forward, we will be even more proactive in addressing various sustainability-related issues to ensure the sustainable growth of the company and create medium- to long-term corporate value. In particular, we intend to focus on promoting ""use of timber in buildings"" which will attract public attention as we work to achieve a carbon neutrality by 2050. We believe that ""use of timber in buildings"" will contribute to the prevention of global warming. While strengthening our business centered on the utilization of forest resources, we will also focus on strengthening cooperation among group companies and promoting diversity to transform what we have into something new and better. We hope you will look forward to the further progress of our group.
Corporate Message
A company is stand on people,
and people are stand on the heart
The spirit that we have inherited since our founding in 1937 is ""A company is stand on people, and people are stand on the heart“. The company is a group of a ""person"" and each and every employee supports every activities of the company. And every person has a ""heart"". We will continue to maintain the corporate culture that values the ""heart of people"".
Philosophy
Corporate Mission
Creating a Comfortable &
Rich Living Environment
A ""home"" is a place where people are nurtured, a place where people gather, and a place where people form a bond with each other. We regard the entire planet as our ""home"" and strive to realize comfortable homes and affluent lifestyles for the happiness of all people.
Oath Statement
What each and every employee promises to act to realize our corporate philosophy
We, the employees of JK Holdings Group
1. To take on the challenge of creating comfortable homes and affluent lifestyles for the happiness of all people.
1. To grow and develop together with all our partners, we will always remember our gratitude and value the relationship of trust.
1. To learn from each other, share our dreams, and strive for a tomorrow full of smiles for the sake of our colleagues.
JK Holdings support the Sustainable Development Goals
About Us
CEOʼs Statement / Corporate Message
Company Profile / History
JKHD in Figures
News Letter (Bulls International)
Our Business
Organization chart
Fulfilling Life Style
The Overseas Business Activities
Responsibility to Society
Sustainability
Wood Procurement Policy
Contact us
Copyright © 2024 - 2025 JK Holdings Co., Ltd.
All rights reserverd."
https://www.jkhd.co.jp/english/responsibility-to-society/wood-procurement-policy/,"Wood Procurement Policy
HOME
Responsibility to Society - Wood Procurement Policy
Basic Policy for Procuring Wood and
Wooden Products
Purpose and Background
JK Holdings Group considers global environmental issues to be one of its most important management priorities in order to fulfill its corporate philosophy of ""Creating a Comfortable ＆ Rich Living Environment.” And since the JK Holdings Group deal plywood and other wooden building materials as its main products, we believe that we can contribute to the reduction of greenhouse gases and the preservation of biodiversity by building a recycling-oriented society that utilizes forest resources such as wood and wooden building materials. In order to protect natural forests and continue sustainable wood procurement, the Group has established the following as its Basic Policy for Procuring Wood and Wooden products, and will work step by step to implement the policy.
Scope
This basic policy applies to wood, wooden building materials, and wooden boards procured by JK Holdings Group of companies. This basic policy does not apply to products derived from construction waste.
Basic Policy
JK Holdings Group will strive to procure products based on the following policies in order to put our corporate philosophy into practice.
We will promote the procurement of products that have been certified for legality and sustainability, including environmental and social aspects, for the conservation of sustainable forests.
We will strive to conserve forests that have high value conservation.
We will respect the rights of indigenous peoples in the country of origin and strive to offer due consideration to them.
We will respect all the rights of workers in the country of origin and strive to provide necessary actions for their health and safety.
We will promote procurement in compliance with relevant laws and regulations.
Code of Conduct（Implementation and Operation）
We will promote the procurement of woods that have been certified for legality and　sustainability, including environmental and social aspects, positively utilizing the forest certification system, and ensuring traceability for the conservation of sustainable forests.
We will implement the system step by step according to the characteristics of each country and region, periodically review its implementation status, and promote continuous improvement.
We will cooperate with business partners, experts, government agencies, and other stakeholders to promote initiatives.
We regularly monitor the implementation of this policy.
This basic policy and code of conduct will be disseminated to all related business partners.
  Forest Certification
In May 2017, JK Holdings Group formulated its Basic Policy for Procuring Wood and Wooden products, and as part of its eforts based on this policy, the Group is working to acquire and promote forest certification system.
Japan Kenzai Co., Ltd., a core company of JK Holdings Group, has acquired Chain of Custody (CoC) certification under FSC® and SGEC/PEFC, and procures and sells forest certified products with easy traceability and high reliability. JK Holdings Group believe that actively promoting and selling environmentally friendly products, including forest certified products, will lead to the protection and maintenance of forests, which in turn will contribute to the preservation of the global environment and biodiversity.
license-number
FSC®-C081849
license-number
SGEC/31-32-1388
PEFC/31-32-61
JK Holdings support the Sustainable Development Goals
About Us
CEOʼs Statement / Corporate Message
Company Profile / History
JKHD in Figures
News Letter (Bulls International)
Our Business
Organization chart
Fulfilling Life Style
The Overseas Business Activities
Responsibility to Society
Sustainability
Wood Procurement Policy
Contact us
Copyright © 2024 - 2025 JK Holdings Co., Ltd.
All rights reserverd."
https://www.jkhd.co.jp/english/business/organization/,"Our Business
HOME
Our Business - Organization chart
Business Group
JK Holdings Groupʼs corporate philosophy is ""Creating a Comfortable & Rich Living Environment"".
We are mainly engaged in manufacturing of plywood, as well as wholesale of decorative plywood, building materials, and housing equipment. In addition, we are actively involved in all aspects of housing, such as coexistence and co-prosperity with our customers by providing them with our management expertise.

Organization chart
INTERRA USA, Inc.
Rus Interra LLC
新日緑建材（JPG Housing Materials Co., Ltd.）
JK Holdings support the Sustainable Development Goals
About Us
CEOʼs Statement / Corporate Message
Company Profile / History
JKHD in Figures
News Letter (Bulls International)
Our Business
Organization chart
Fulfilling Life Style
The Overseas Business Activities
Responsibility to Society
Sustainability
Wood Procurement Policy
Contact us
Copyright © 2024 - 2025 JK Holdings Co., Ltd.
All rights reserverd."
https://www.jkhd.co.jp/english/#en,"NEWS LETTER
Bulls International"
https://www.jkhd.co.jp/english/about-us/figures/,"HOME
About Us
JKHD in Figures
JKHD in Figures
As of March 2024
Net sales
388.9
billion yen
Net sales
376,120
407,022
388,910
420,000
390,000
360,000
330,000
300,000
270,000
240,000
Mar.
2022
Mar.
2023
Mar.
2024
(million yen)
Ordinary profit
8.6
billion yen
Ordinary profit margin
Ordinary profit
13,111
10,300
8,670
3.5%
2.5%
2.2%
14,000
12,000
10,000
8,000
6,000
4,000
2,000
0
4.0%
3.5%
3.0%
2.5%
2.0%
1.5%
1.0%
0.5%
Mar.
2022
Mar.
2023
Mar.
2024
(million yen)
Net assets
63.1
billion yen
Net assets
53,279
57,897
63,107
65,000
60,000
55,000
50,000
45,000
40,000
35,000
Mar.
2022
Mar.
2023
Mar.
2024
(million yen)
Number of Group Employees
3,368
Employees
Number of Group Companies
56
Companies
41
consolidated subsidiaries
8
unconsolidated subsidiaries
7
afliated companies
READ MORE
Domestic Offices
305
Locations in Total
Wholesaling
148
Locations
Plywood manufacturing and
Wood processing business
18
Locations
Comprehensive retail business
119
Locations
Trading and Others
20
Locations
Overseas Offices
7
Countries
12
Locations
READ MORE
JK Holdings support the Sustainable Development Goals
About Us
CEOʼs Statement / Corporate Message
Company Profile / History
JKHD in Figures
News Letter (Bulls International)
Our Business
Organization chart
Fulfilling Life Style
The Overseas Business Activities
Responsibility to Society
Sustainability
Wood Procurement Policy
Contact us
Copyright © 2024 - 2025 JK Holdings Co., Ltd.
All rights reserverd."
https://www.jkhd.co.jp/common/newsletter,"JAPANESE SITE
ENGLISH SITE
Nw
HOME
News Letter
2025
2024
2023
2022
2021
2020
2019
2018
2025
News Letter
2025-04-15
No.78
Bulls International No.78
2025-01-14
No.77
Bulls International No.77
2024
News Letter
2024-10-09
No.76
Bulls International No.76
2024-07-16
No.75
Bulls International No.75
2024-04-10
No.74
Bulls International No.74
2024-01-18
No.73
Bulls International No.73
2023
News Letter
2023-10-01
No.72
Bulls International No.72
2023-07-01
No.71
Bulls International No.71
2023-04-01
No.70
Bulls International No.70
2023-01-01
No.69
Bulls International No.69
2022
News Letter
2022-10-01
No.68
Bulls International No.68
2022-07-01
No.67
Bulls International No.67
2022-04-01
No.66
Bulls International No.66
2022-01-01
No.65
Bulls International No.65
2021
News Letter
2021-10-01
No.64
Bulls International No.64
2021-07-01
No.63
Bulls International No.63
2021-04-01
No.62
Bulls International No.62
2021-02-01
No.61
Bulls International No.61
2020
News Letter
2020-12-01
No.60
Bulls International No.60
2020-09-01
No.59
Bulls International No.59
2020-07-01
No.58
Bulls International No.58
2020-02-01
No.57
Bulls International No.57
2019
News Letter
2019-11-01
No.56
Bulls International No.56
2019-10-01
No.55
Bulls International No.55
2019-06-01
No.54
Bulls International No.54
2019-02-01
No.53
Bulls International No.53
2018
News Letter
2018-11-01
No.52
Bulls International No.52
2018-07-01
No.51
Bulls International No.51
2018-04-01
No.50
Bulls International No.50
Copyright © 2025 JK Holdings Co.,Ltd. All right reserved."
https://www.jkhd.co.jp/english/responsibility-to-society/sustainability/,"Responsibility to Society
Sustainability
HOME
Responsibility to Society - Sustainability
What we do is
utilize natural resources.
We will actively address various ways to
achieve sustainable growth of the company
and create medium- to long-term corporate value.
Basic Policy for Sustainability Promotion
JK Holdings Group regards the entire planet as a ""home"" and aims to create comfortable homes and rich lifestyle under the corporate philosophy of “Creating a Comfortable & Rich Living Environment”.
We aim to create a prosperous future for people, society, and the Earth, aiming for the coexistence of people and nature in a recycling-oriented society that nurtures forests and makes the most of trees through our business centered on the utilization of forest resources. We will contribute to the creation of towns that bring smiles to people through business activities by stable supply of building materials, plywood manufacturing, lumber processing and proposal of lifestyles.
At the same time, we will strengthen cooperation among group companies and further promote diversity. Never forgetting that ""A company is stand on people, and people are stand on the heart"" we will make our employees, business partners, customers, and all other people involved in ""housing"" happy.
We will formulate individual policies on material issues related to sustainability (materiality) that address each of the ESG and SDGs issues, and actively and proactively address them in order to achieve sustainable growth of the company and create medium- to long-term corporate value.
Information Disclosure Based on TCFD Recommendation
The JK Holdings Group has expressed its support for the recommendations of the Task Force on Climate-related Financial Disclosures (TCFD). Based on the TCFD recommendations, we will continue to analyze the impact of climate change on our business and enhance our information disclosure.
JK Holdings' Materiality
The world's environmental destruction is causing the serious depletion of natural resources, which is causing economic decline and other adverse effects that are unsustainable in the long run. In response to the growing global demand for sustainability, we have formulated JK Holdings' Materiality to contribute to the creation of a sustainable social environment by 2030 by further strengthening the social role of each group company in its business activities, with the aim of resolving long-term issues involving the environment, people, and society.
Together with the Earth
Consideration of global environmental issues
such as climate change, risk management for
natural disasters.
Together with people
Consideration for employees' health and
working environment, fair and appropriate
treatment, and respect for human rights.
Together with society
Responding to demographic change properly
and maintain fair deals with customers and
suppliers.
SDGs INITIATIVES
The JK Holdings Group is working to solve many of the issues prevalent
in modern society through participation in the SDGs,
which aim to build a sustainable society.
As a company that utilizes the earth's resources in
our daily activities, we contribute to the development of people, nature,
and the economy with the future of the earth in mind.
JK Holdings support the Sustainable Development Goals
About Us
CEOʼs Statement / Corporate Message
Company Profile / History
JKHD in Figures
News Letter (Bulls International)
Our Business
Organization chart
Fulfilling Life Style
The Overseas Business Activities
Responsibility to Society
Sustainability
Wood Procurement Policy
Contact us
Copyright © 2024 - 2025 JK Holdings Co., Ltd.
All rights reserverd."
https://www.jkhd.co.jp/common/en_contact,"HOME
Contact
If you have any opinions, questions,
or requests for materials, please contact us.
* Depending on the content of your inquiry, it may take some time to reply or we may refrain from replying.
* Sorry for not being able to reply to your message Saturdays, Sundays, national holidays, year-end and New Year holidays, etc.
日本語
English
Inquiry type
Corporation
Individual
Other groups, etc.
Company Name
Your Name
Last Name
First Name
Address
〒
-
E-Mail
Phone Number
-
-
Message
私たちが世界のために実現できること。
地球と
暮らしを考える。
JKホールディングスは持続可能な
開発目標（SDGs）を支援しています。
企業情報
JKHDグループ
事業紹介
サステナビリティ
投資家情報
採用情報
お知らせ
News Letter
お問い合わせ
Copyright © 2025 JK Holdings Co., Ltd. All right reserved.
コンプライアンス宣言
役職員の行動規範
プライバシーポリシー
サイトマップ
採用情報
RECRUIT SITE
RECRUIT"
https://www.jkhd.co.jp/english/about-us/,"About Us
HOME
About Us
CEO’s Statement / Corporate Message
Message from the Company and CEO to share our corporate philosophy and policies.
READ MORE
Company Profile / History
The outline and footsteps to date.
READ MORE
JKHD in Figures
The latest status of JKHD in every category is presented at a glance.
READ MORE
News Letter (Bulls International)
The well-known Quarterly company newsletter. We will keep you up to date on the latest situation of the Japanese market.
READ MORE
JK Holdings support the Sustainable Development Goals
About Us
CEOʼs Statement / Corporate Message
Company Profile / History
JKHD in Figures
News Letter (Bulls International)
Our Business
Organization chart
Fulfilling Life Style
The Overseas Business Activities
Responsibility to Society
Sustainability
Wood Procurement Policy
Contact us
Copyright © 2024 - 2025 JK Holdings Co., Ltd.
All rights reserverd."
